CMDLINE python gridsearch_mem_leak.py
MEM 410.312500 1584919485.1498
MEM 410.460938 1584919485.2931
MEM 411.468750 1584919485.4167
MEM 412.097656 1584919485.5404
MEM 412.347656 1584919485.6641
MEM 412.347656 1584919485.8068
MEM 412.347656 1584919485.9305
MEM 412.593750 1584919486.0541
MEM 413.085938 1584919486.1780
MEM 413.343750 1584919486.3020
MEM 413.343750 1584919486.4257
MEM 413.343750 1584919486.5392
MEM 413.343750 1584919486.6547
MEM 413.593750 1584919486.7786
MEM 413.835938 1584919486.9111
MEM 414.351562 1584919487.0503
MEM 414.792969 1584919487.1832
MEM 415.269531 1584919487.3067
MEM 415.769531 1584919487.4305
MEM 416.277344 1584919487.5540
MEM 416.605469 1584919487.6776
MEM 417.003906 1584919487.8007
MEM 417.007812 1584919487.9387
MEM 417.082031 1584919488.0696
MEM 417.406250 1584919488.2017
MEM 417.695312 1584919488.3435
MEM 418.304688 1584919488.4820
MEM 418.679688 1584919488.6155
MEM 419.097656 1584919488.7492
MEM 419.398438 1584919488.8789
MEM 419.699219 1584919489.0100
MEM 420.109375 1584919489.1474
MEM 420.507812 1584919489.2713
MEM 420.960938 1584919489.4090
MEM 421.511719 1584919489.5406
MEM 421.980469 1584919489.6694
MEM 422.277344 1584919489.7932
MEM 422.429688 1584919489.9420
MEM 422.613281 1584919490.0850
MEM 422.714844 1584919490.2193
MEM 422.988281 1584919490.3532
MEM 423.671875 1584919490.4821
MEM 424.039062 1584919490.6161
MEM 424.410156 1584919490.7503
MEM 424.410156 1584919490.8784
MEM 424.410156 1584919490.9966
MEM 424.410156 1584919491.1091
MEM 424.410156 1584919491.2214
MEM 424.160156 1584919491.3339
MEM 424.929688 1584919491.4464
MEM 427.835938 1584919491.5586
MEM 428.351562 1584919491.6709
MEM 428.351562 1584919491.7834
MEM 428.351562 1584919491.8957
MEM 432.218750 1584919492.0082
MEM 443.562500 1584919492.1207
MEM 475.789062 1584919492.2331
MEM 465.003906 1584919492.3455
MEM 465.003906 1584919492.4579
MEM 465.003906 1584919492.5702
MEM 465.003906 1584919492.6826
MEM 465.003906 1584919492.7953
MEM 468.929688 1584919492.9078
MEM 472.968750 1584919493.0204
MEM 485.707031 1584919493.1330
MEM 524.894531 1584919493.2455
MEM 472.679688 1584919493.3580
MEM 472.679688 1584919493.4706
MEM 472.679688 1584919493.5830
MEM 472.679688 1584919493.6954
MEM 472.679688 1584919493.8078
MEM 472.679688 1584919493.9201
MEM 472.679688 1584919494.0325
MEM 472.679688 1584919494.1450
MEM 472.679688 1584919494.2575
MEM 472.679688 1584919494.3705
MEM 472.679688 1584919494.4830
MEM 472.679688 1584919494.5954
MEM 472.679688 1584919494.7078
MEM 472.679688 1584919494.8204
MEM 472.679688 1584919494.9328
MEM 472.679688 1584919495.0451
MEM 472.679688 1584919495.1575
MEM 472.679688 1584919495.2701
MEM 472.679688 1584919495.3825
MEM 472.679688 1584919495.4949
MEM 472.679688 1584919495.6073
MEM 472.679688 1584919495.7195
MEM 472.679688 1584919495.8320
MEM 472.679688 1584919495.9445
MEM 472.679688 1584919496.0569
MEM 472.679688 1584919496.1702
MEM 473.015625 1584919496.2831
MEM 473.429688 1584919496.3957
MEM 473.589844 1584919496.5081
MEM 473.589844 1584919496.6205
MEM 473.589844 1584919496.7329
MEM 473.589844 1584919496.8454
MEM 473.589844 1584919496.9577
MEM 473.589844 1584919497.0702
MEM 473.589844 1584919497.1827
MEM 473.597656 1584919497.2951
MEM 473.597656 1584919497.4075
MEM 473.812500 1584919497.5199
MEM 426.218750 1584919497.6323
MEM 426.031250 1584919497.7447
MEM 426.031250 1584919497.8572
MEM 426.031250 1584919497.9696
MEM 428.089844 1584919498.0820
MEM 429.636719 1584919498.1943
MEM 429.636719 1584919498.3066
MEM 429.636719 1584919498.4190
MEM 429.636719 1584919498.5315
MEM 433.761719 1584919498.6441
MEM 453.164062 1584919498.7565
MEM 477.398438 1584919498.8689
MEM 466.003906 1584919498.9812
MEM 466.003906 1584919499.0935
MEM 466.003906 1584919499.2059
MEM 466.003906 1584919499.3184
MEM 466.160156 1584919499.4309
MEM 466.785156 1584919499.5437
MEM 472.460938 1584919499.6561
MEM 482.710938 1584919499.7685
MEM 498.300781 1584919499.8810
MEM 530.527344 1584919499.9934
MEM 473.679688 1584919500.1057
MEM 473.679688 1584919500.2182
MEM 473.679688 1584919500.3306
MEM 473.679688 1584919500.4432
MEM 473.679688 1584919500.5554
MEM 473.679688 1584919500.6677
MEM 473.679688 1584919500.7801
MEM 473.679688 1584919500.8926
MEM 473.679688 1584919501.0049
MEM 473.679688 1584919501.1172
MEM 473.679688 1584919501.2296
MEM 473.679688 1584919501.3421
MEM 473.679688 1584919501.4544
MEM 473.679688 1584919501.5670
MEM 473.679688 1584919501.6793
MEM 473.679688 1584919501.7916
MEM 473.679688 1584919501.9038
MEM 473.679688 1584919502.0162
MEM 473.679688 1584919502.1294
MEM 473.679688 1584919502.2420
MEM 473.679688 1584919502.3543
MEM 473.679688 1584919502.4666
MEM 473.679688 1584919502.5789
MEM 473.679688 1584919502.6913
MEM 473.679688 1584919502.8037
MEM 473.679688 1584919502.9163
MEM 473.679688 1584919503.0285
MEM 473.679688 1584919503.1408
MEM 473.679688 1584919503.2538
MEM 473.679688 1584919503.3669
MEM 473.679688 1584919503.4794
MEM 473.679688 1584919503.5921
MEM 473.679688 1584919503.7047
MEM 473.679688 1584919503.8189
MEM 473.679688 1584919503.9336
MEM 473.679688 1584919504.0473
MEM 473.679688 1584919504.1626
MEM 477.570312 1584919504.2775
MEM 477.570312 1584919504.3923
MEM 477.281250 1584919504.5069
MEM 477.281250 1584919504.6193
MEM 414.429688 1584919504.7317
MEM 414.433594 1584919504.8442
MEM 0.000000 1584919504.9598
